tmdb_id,title,vote_average,vote_count,popularity,release_date,genre_ids,overview,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
1058694,Radical,8.334,513,6.1247,2023-10-19,[18],"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",2026-09-09T10:51:53.417990,BXcGgvAKC1Q,Official Trailer [Subtitled],Trailer,https://www.youtube.com/watch?v=BXcGgvAKC1Q
105,Back to the Future,8.329,22347,32.5516,1985-07-03,"[12, 35, 878]","Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",2026-09-09T10:51:53.417994,C-4Pr9kBtGc,Official Digital Remaster Trailer,Trailer,https://www.youtube.com/watch?v=C-4Pr9kBtGc
73,American History X,8.324,12875,17.2487,1998-07-01,[18],"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",2026-09-09T10:51:53.417997,el6JxnW2Tyg,American History X (1998) Original Trailer [HD],Trailer,https://www.youtube.com/watch?v=el6JxnW2Tyg
128,Princess Mononoke,8.318,9257,21.6025,1997-07-12,"[12, 14, 16]","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",2026-09-09T10:51:53.418002,I1dHzoRl0sQ,4K Restoration Official Trailer,Trailer,https://www.youtube.com/watch?v=I1dHzoRl0sQ
372754,Dou kyu sei – Classmates,8.3,463,6.7391,2016-02-20,"[10749, 16]","Rihito Sajo, an honor student with a perfect score on the entrance exam and Hikaru Kusakabe, in a band and popular among girls, would have never crossed paths. Until one day they started talking at the practice for their school’s upcoming chorus festival. After school, the two meet regularly, as Hikaru helps Rihito to improve his singing skills. While they listen to each other’s voice and harmonize, their hearts start to beat together.",2026-09-09T10:51:53.418005,wFQTncSyukA,Doukyusei (Classmates) Movie Trailer 2,Trailer,https://www.youtube.com/watch?v=wFQTncSyukA
3782,Ikiru,8.312,1385,9.1047,1952-10-09,[18],"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",2026-09-09T10:51:53.418008,geKhyNerWM8,Ikiru (1952) Original Trailer [4K],Trailer,https://www.youtube.com/watch?v=geKhyNerWM8
1184918,The Wild Robot,8.3,6554,42.8795,2024-09-12,"[10751, 16, 878, 12]","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2026-09-09T10:51:53.418012,njPNg0A9VpY,Official Trailer 2,Trailer,https://www.youtube.com/watch?v=njPNg0A9VpY
614945,Voicemails for Isabelle,8.307,872,20.4718,2026-06-20,"[10749, 35, 18]","A young woman's hilariously confessional voicemails to her late sister are unknowingly redirected to a stranger, who begins to fall in love from afar.",2026-09-09T10:51:53.418016,9mi3YVYm3ZU,Official Trailer,Trailer,https://www.youtube.com/watch?v=9mi3YVYm3ZU
10494,Perfect Blue,8.305,3335,17.6221,1998-02-28,"[16, 53]","Rising pop star Mima Kirigoe quits singing to pursue a career as an actress. After she takes up a role on a popular detective show, her handlers and collaborators begin turning up murdered. Harboring feelings of guilt and haunted by visions of her former self, Mima's reality and fantasy meld into a frenzied paranoia.",2026-09-09T10:51:53.418019,RrWausp8zDQ,Remastered - Official 4K Trailer [Subtitled],Trailer,https://www.youtube.com/watch?v=RrWausp8zDQ
533514,Violet Evergarden: The Movie,8.294,541,8.6367,2020-09-18,"[16, 18, 14, 10749]","As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",2026-09-09T10:51:53.418022,BUfSen2rYQs,Official Trailer [English Subtitles],Trailer,https://www.youtube.com/watch?v=BUfSen2rYQs
